Year,Avg_Life_Satisfaction_Austria,Avg_Life_Satisfaction_Belgium,Avg_Life_Satisfaction_Canada,Avg_Life_Satisfaction_Denmark,Avg_Life_Satisfaction_Finland,Avg_Life_Satisfaction_France,Avg_Life_Satisfaction_Grt_Britain,Avg_Life_Satisfaction_Ireland,Avg_Life_Satisfaction_Italy,Avg_Life_Satisfaction_Malta,Avg_Life_Satisfaction_Netherlands,Avg_Life_Satisfaction_N_Ireland,Avg_Life_Satisfaction_Norway,Avg_Life_Satisfaction_Portugal,Avg_Life_Satisfaction_Spain,Avg_Life_Satisfaction_Sweden,Avg_Life_Satisfaction_United_States
1981,,1.80502688884735,,,,2.07516551017761,1.89380168914795,,2.47510027885437,,,1.90277099609375,,,2.0077211856842,,
1982,,,,,,,,,,,,,1.85856187343597,,,,
1983,,,,,,,,,,1.91274333000183,,,,,,,
1990,1.83763372898102,1.89391493797302,,,,1.97628307342529,1.93458271026611,1.92485845088959,2.06472086906433,,1.57591211795807,1.79931271076202,1.76882255077362,2.15205788612366,1.89712154865265,,1.83118343353271
1991,,,,,,,,,,1.99096894264221,,,,,,,
1995,,,,,,,,,,,,,,,1.96854114532471,,2.00604295730591
1996,,,,,1.54618453979492,,,,,,,,1.8688040971756,,,1.80647265911102,
1998,,,,,,,1.94887602329254,,,,,,,,,,
1999,1.92091178894043,2.13491368293762,,1.81527161598206,,1.99374604225159,,1.82536911964417,2.11176347732544,1.61993634700775,1.33517861366272,1.7540670633316,,1.95616555213928,2.01021790504456,1.85832393169403,1.82467257976532
2000,,,1.88286399841309,,1.65467524528503,,,,,,,,,,1.8262003660202,,
2005,,,,,1.74674928188324,,,,1.74159169197083,,,,,,,,
2006,,,1.71026110649109,,,1.92697095870972,1.64395558834076,,,,,,,,,1.6077094078064,1.7666003704071
2007,,,,,,,,,,,,,,,1.50246095657349,,
